"Size","KMeans_Time","KMedoids_Time","KMeans_Silhouette","KMedoids_Silhouette"
300,0,0,0.74136760944292,0.74136760944292
500,0.0200000000004366,0,0.723997934427148,0.723997934427148
700,0,0.0500000000001819,0.732879171083623,0.732879171083623
900,0,0.0499999999992724,0.73985841248689,0.73985841248689
1100,0,0.0599999999994907,0.732266913074084,0.732266913074084
1300,0,0.0799999999999272,0.737033508294179,0.737033508294179
1500,0,0.170000000000073,0.738611319098198,0.738611319098198
1700,0,0.25,0.729964811702336,0.729964811702336
1900,0,0.180000000000291,0.734310964282191,0.734310964282191
2100,0,0.199999999999818,0.735129180753781,0.735134258961117
2300,0.0100000000002183,0.270000000000437,0.732321125599462,0.732321125599462
2500,0,0.3100000000004,0.742186541050216,0.742186541050216
2700,0,0.530000000000655,0.733930706121064,0.733930706121064
2900,0,0.539999999999964,0.73856392310545,0.73856392310545
3100,0,0.649999999999636,0.73803535200445,0.73803535200445
3300,0.0199999999995271,0.630000000000109,0.740298239445882,0.740296635217656
3500,0,0.800000000000182,0.740682457806528,0.740682457806528
3700,0,1.14000000000033,0.736583927543809,0.736583927543809
3900,0,1.59000000000015,0.740314067350247,0.740314067350247
4100,0,1.10000000000036,0.736909697879714,0.736909697879714
4300,0.0199999999995271,1.38000000000011,0.739500862853907,0.739500862853907
4500,0,2.09000000000015,0.739567476058198,0.739567476058198
4700,0,2.38999999999942,0.73759392426976,0.73759392426976
4900,0.0100000000002183,1.93000000000029,0.739187998037369,0.739187998037369
5100,0,1.84000000000015,0.738552147810299,0.738552147810299
5300,0,2.65000000000055,0.740223372512499,0.740223372512499
5500,0,2.85999999999967,0.740444303087322,0.740444303087322
5700,0.00999999999930878,4.98000000000047,0.739466949423939,0.739466949423939
5900,0,2.22000000000025,0.738107979579126,0.738107979579126
6100,0,2.44000000000051,0.733758997846505,0.733758997846505
6300,0,2.52999999999975,0.73880146701064,0.73880146701064
6500,0,5.64999999999964,0.741131673745407,0.741120269643442
6700,0.0100000000002183,5.25,0.737624426061128,0.737624426061128
6900,0.0200000000004366,7.61999999999989,0.737819051872237,0.737819051872237
7100,0.0199999999995271,4.05000000000018,0.737882669535299,0.737882669535299
7300,0,4.3100000000004,0.739738626868103,0.739738626868103
7500,0,7.05000000000018,0.740404120609598,0.740404120609598
7700,0.00999999999930878,5.61999999999989,0.742800996260229,0.742800996260229
7900,0.00999999999930878,7.5600000000004,0.739728790562084,0.739728790562084
8100,0.0100000000002183,10.1100000000006,0.738907798458146,0.738903339956537
8300,0.0100000000002183,5.65999999999985,0.741009961543077,0.741009961543077
8500,0,7.26000000000022,0.739823182838331,0.739823182838331
8700,0.360000000000582,7.97000000000025,0.738012056604124,0.738012056604124
8900,0,9.49000000000069,0.738155139119765,0.738155139119765
9100,0,7.88999999999942,0.739573151994594,0.739573151994594
9300,0.00999999999930878,7.64999999999964,0.740743990398809,0.740743990398809
9500,0,13.9699999999993,0.738562366744865,0.738562366744865
9700,0.00999999999930878,9.89000000000033,0.737623317674964,0.737623317674964
9900,0.0100000000002183,10.9900000000007,0.738952101005938,0.738952101005938
10100,0.0200000000004366,9.05000000000018,0.739375142951686,0.739375142951686
10300,0.0799999999999272,13.5299999999997,0.736901859194243,0.736901859194243
10500,0.0100000000002183,12.3699999999999,0.73542543374832,0.73542543374832
